Location,Date,Time,Traffic_Status
Chittoor,2025-05-27,02:09,High
YSR Kadapa,2025-04-05,11:47,High
Visakhapatnam,2025-12-27,08:34,Medium
Prakasam,2025-01-17,05:57,High
Kurnool,2025-04-23,17:29,Low
YSR Kadapa,2025-09-22,23:20,Medium
Nellore,2025-03-10,20:46,High
Nellore,2025-07-22,07:05,Low
Krishna,2025-09-01,00:46,Medium
YSR Kadapa,2025-08-21,15:47,Low
Kurnool,2025-03-01,16:58,High
West Godavari,2025-05-13,16:21,Low
Krishna,2025-09-17,14:48,Low
Prakasam,2025-04-07,06:08,High
Vizianagaram,2025-08-11,10:00,Low
YSR Kadapa,2025-04-20,16:57,Medium
Anantapur,2025-03-12,00:42,Medium
East Godavari,2025-12-24,01:22,High
Visakhapatnam,2025-12-15,01:30,High
Kurnool,2025-10-08,13:20,Low
East Godavari,2025-06-12,23:54,Medium
Vizianagaram,2025-02-14,18:45,High
Visakhapatnam,2025-05-08,23:58,Medium
YSR Kadapa,2025-05-03,09:09,Medium
Nellore,2025-05-09,07:03,Low
Nellore,2025-03-12,14:10,Low
YSR Kadapa,2025-02-15,22:49,Medium
Chittoor,2025-05-20,05:04,Low
Nellore,2025-11-13,16:04,Low
Vizianagaram,2025-05-14,17:13,High
Srikakulam,2025-03-05,07:26,Medium
Anantapur,2025-08-27,15:20,Low
Visakhapatnam,2025-01-21,09:38,Low
West Godavari,2025-01-17,10:10,Medium
Prakasam,2025-04-08,03:59,Low
Nellore,2025-07-18,15:42,High
Krishna,2025-12-21,02:27,Low
West Godavari,2025-03-23,20:01,Medium
Nellore,2025-11-07,09:34,Medium
Prakasam,2025-01-08,16:26,High
Guntur,2025-04-03,11:40,High
East Godavari,2025-04-06,15:56,Low
Vizianagaram,2025-09-06,13:31,Medium
East Godavari,2025-02-03,06:48,High
East Godavari,2025-06-05,16:32,Medium
East Godavari,2025-08-02,00:37,High
Srikakulam,2025-02-13,12:07,Medium
Krishna,2025-06-23,08:45,High
East Godavari,2025-12-17,00:40,Medium
Vizianagaram,2025-05-09,10:30,Medium
YSR Kadapa,2025-10-10,09:47,Medium
Vizianagaram,2025-05-18,02:05,Medium
Prakasam,2025-10-14,02:09,High
Kurnool,2025-09-26,15:04,Low
West Godavari,2025-09-10,23:48,Medium
YSR Kadapa,2025-08-20,14:58,High
Anantapur,2025-11-22,12:14,High
Prakasam,2025-04-23,22:18,Medium
Anantapur,2025-08-03,17:13,Medium
Prakasam,2025-04-03,07:23,High
Krishna,2025-02-02,16:46,Medium
East Godavari,2025-06-20,19:36,Medium
Guntur,2025-02-20,22:15,Medium
Guntur,2025-06-27,15:18,High
Anantapur,2025-08-15,19:04,High
Chittoor,2025-06-14,05:53,High
Srikakulam,2025-09-20,08:27,Medium
Guntur,2025-12-01,01:20,Low
Guntur,2025-05-08,03:34,Medium
Visakhapatnam,2025-07-17,01:24,Low
Prakasam,2025-01-03,11:36,Medium
Prakasam,2025-05-15,09:14,Medium
YSR Kadapa,2025-11-08,05:23,Low
Srikakulam,2025-02-12,23:04,Medium
Anantapur,2025-06-17,20:06,Low
Chittoor,2025-10-22,10:11,Low
Guntur,2025-05-08,18:00,High
Krishna,2025-08-23,12:19,Low
Kurnool,2025-09-12,21:23,Low
YSR Kadapa,2025-07-17,03:37,Medium
Chittoor,2025-03-14,12:31,Medium
Prakasam,2025-08-26,12:02,Low
YSR Kadapa,2025-01-17,21:16,Medium
West Godavari,2025-08-12,01:28,High
Srikakulam,2025-10-05,20:00,Medium
West Godavari,2025-01-05,00:45,Medium
Kurnool,2025-01-02,14:16,Medium
West Godavari,2025-08-04,09:25,Low
Prakasam,2025-11-23,23:06,Medium
Prakasam,2025-01-23,20:42,Medium
Prakasam,2025-07-11,21:15,Medium
Visakhapatnam,2025-09-18,00:09,High
Krishna,2025-10-19,08:28,Medium
Prakasam,2025-12-24,18:19,High
Vizianagaram,2025-03-17,18:37,Medium
Vizianagaram,2025-02-20,00:30,High
Kurnool,2025-06-12,08:00,Medium
Srikakulam,2025-04-26,23:17,High
Guntur,2025-12-23,19:32,High
Chittoor,2025-08-22,12:24,Medium
East Godavari,2025-08-12,16:31,Low
Nellore,2025-06-24,05:42,Low
Vizianagaram,2025-01-06,20:36,High
Prakasam,2025-03-06,09:35,High
Nellore,2025-07-24,14:49,Low
Anantapur,2025-06-03,18:32,Low
Prakasam,2025-04-12,05:40,High
Visakhapatnam,2025-07-06,05:10,Low
Prakasam,2025-07-12,21:36,High
Krishna,2025-05-22,09:08,Low
Kurnool,2025-01-14,05:28,Medium
Visakhapatnam,2025-08-09,23:56,Medium
East Godavari,2025-03-23,11:43,Low
Vizianagaram,2025-12-18,12:19,Low
Vizianagaram,2025-07-26,03:16,Low
Krishna,2025-01-15,10:32,Medium
Chittoor,2025-04-12,14:12,High
West Godavari,2025-05-14,07:05,Medium
Vizianagaram,2025-01-01,19:55,Low
Srikakulam,2025-02-22,02:14,Medium
Chittoor,2025-11-02,23:05,High
Chittoor,2025-01-10,23:23,High
Srikakulam,2025-05-15,14:34,Medium
Chittoor,2025-08-02,02:17,Low
Vizianagaram,2025-06-14,09:19,Medium
Kurnool,2025-10-20,00:53,Low
Chittoor,2025-11-10,16:39,Low
Srikakulam,2025-07-12,01:48,Medium
West Godavari,2025-09-17,17:15,Low
Vizianagaram,2025-01-04,04:00,High
Guntur,2025-02-18,21:40,Low
Anantapur,2025-08-16,03:35,Medium
Visakhapatnam,2025-09-07,02:50,High
Visakhapatnam,2025-04-13,08:19,Low
Anantapur,2025-10-03,04:19,High
Guntur,2025-10-01,03:23,High
East Godavari,2025-05-22,08:09,Medium
YSR Kadapa,2025-03-21,12:10,High
Nellore,2025-04-21,02:25,Medium
Srikakulam,2025-09-28,01:03,High
Srikakulam,2025-10-09,10:46,Medium
Nellore,2025-09-26,17:18,Medium
West Godavari,2025-05-15,10:14,Low
Vizianagaram,2025-07-19,22:12,High
Vizianagaram,2025-01-03,17:33,Medium
Kurnool,2025-05-24,02:49,High
Nellore,2025-09-12,09:53,High
Srikakulam,2025-10-14,09:22,High
West Godavari,2025-07-16,03:05,High
Prakasam,2025-06-13,08:11,High
Vizianagaram,2025-01-21,03:16,Medium
Anantapur,2025-10-20,15:46,Low
Guntur,2025-07-22,17:39,Low
Srikakulam,2025-12-22,19:07,High
Anantapur,2025-11-07,19:08,High
Chittoor,2025-01-22,16:47,High
Krishna,2025-12-12,05:01,Medium
East Godavari,2025-01-04,05:20,Medium
Prakasam,2025-05-24,14:07,Medium
Prakasam,2025-08-02,13:25,High
YSR Kadapa,2025-08-18,20:22,High
Chittoor,2025-08-11,15:48,Low
YSR Kadapa,2025-03-20,20:00,Low
Chittoor,2025-01-18,00:49,High
Anantapur,2025-01-26,18:44,Low
Chittoor,2025-04-10,12:52,Medium
Krishna,2025-06-02,21:25,Low
Prakasam,2025-02-07,00:35,Medium
East Godavari,2025-11-08,04:16,Medium
East Godavari,2025-02-04,11:26,Low
Nellore,2025-11-17,12:39,Medium
Prakasam,2025-03-05,06:56,Low
Chittoor,2025-03-07,20:05,High
Krishna,2025-10-08,16:38,Low
YSR Kadapa,2025-01-18,02:50,Medium
Guntur,2025-08-22,23:09,High
Krishna,2025-04-03,12:29,Medium
Kurnool,2025-02-28,14:05,High
East Godavari,2025-10-01,07:59,Medium
West Godavari,2025-07-16,02:51,High
Vizianagaram,2025-12-20,13:59,Medium
West Godavari,2025-11-13,15:17,High
Krishna,2025-12-20,20:18,Low
Vizianagaram,2025-03-12,04:26,Low
Vizianagaram,2025-04-17,17:30,Low
Chittoor,2025-08-26,13:22,High
East Godavari,2025-11-07,15:20,High
Guntur,2025-07-21,00:58,Medium
Visakhapatnam,2025-07-12,18:41,Medium
YSR Kadapa,2025-07-22,01:05,High
Guntur,2025-10-01,14:12,Medium
Prakasam,2025-01-14,11:17,High
YSR Kadapa,2025-12-03,06:43,Low
East Godavari,2025-01-15,22:47,Medium
Nellore,2025-04-22,17:51,Low
Chittoor,2025-11-17,15:39,High
West Godavari,2025-03-20,01:57,Low
YSR Kadapa,2025-06-15,10:33,Low
East Godavari,2025-11-18,17:18,Medium
Krishna,2025-09-11,08:01,High
Kurnool,2025-04-21,03:43,Medium
Kurnool,2025-12-07,00:05,Low
Anantapur,2025-12-12,10:48,Medium
Visakhapatnam,2025-04-13,23:23,Low
West Godavari,2025-01-15,16:43,Low
Nellore,2025-12-09,13:28,Medium
Guntur,2025-11-17,00:06,High
Chittoor,2025-08-23,18:53,Medium
Krishna,2025-07-04,06:25,Low
West Godavari,2025-11-24,12:41,Low
East Godavari,2025-07-16,19:25,Medium
Anantapur,2025-06-28,01:24,Medium
Srikakulam,2025-03-24,12:32,High
Anantapur,2025-09-27,17:26,High
East Godavari,2025-03-17,09:59,Low
Vizianagaram,2025-12-21,15:29,Medium
Anantapur,2025-08-07,00:47,High
Srikakulam,2025-05-12,05:21,High
Srikakulam,2025-06-14,01:30,Medium
Srikakulam,2025-08-13,22:21,High
West Godavari,2025-07-16,17:31,Low
East Godavari,2025-01-15,08:48,Low
Vizianagaram,2025-11-20,13:00,Medium
Kurnool,2025-04-22,18:42,Medium
East Godavari,2025-08-04,07:25,Low
Guntur,2025-06-22,09:03,Low
Visakhapatnam,2025-05-20,23:54,Low
Kurnool,2025-01-18,13:31,Low
Srikakulam,2025-02-11,07:03,High
Guntur,2025-02-04,18:11,Medium
Chittoor,2025-11-26,08:50,Medium
Nellore,2025-03-16,09:48,Low
Chittoor,2025-01-04,12:22,Medium
Anantapur,2025-05-19,14:40,Low
Vizianagaram,2025-05-17,04:25,Medium
Srikakulam,2025-06-27,22:22,Low
Vizianagaram,2025-09-15,03:27,Medium
Prakasam,2025-07-11,16:54,High
Krishna,2025-12-11,22:12,Low
Chittoor,2025-09-21,15:23,Medium
Prakasam,2025-01-24,05:51,Low
Guntur,2025-01-02,11:36,High
Visakhapatnam,2025-01-17,23:17,High
Kurnool,2025-08-10,21:50,Medium
Srikakulam,2025-12-11,17:14,Medium
East Godavari,2025-08-07,16:55,Medium
East Godavari,2025-06-24,12:18,Low
Prakasam,2025-04-05,08:54,High
Guntur,2025-05-08,13:38,Medium
Vizianagaram,2025-05-20,09:03,Medium
Chittoor,2025-08-13,18:09,Medium
YSR Kadapa,2025-10-22,04:40,High
Anantapur,2025-04-15,09:57,High
Krishna,2025-02-02,07:18,Low
West Godavari,2025-09-01,22:12,High
Vizianagaram,2025-10-13,10:08,Medium
Srikakulam,2025-07-02,16:25,High
Prakasam,2025-11-12,12:07,Low
Vizianagaram,2025-05-20,11:32,Low
West Godavari,2025-11-27,02:37,High
Krishna,2025-11-22,23:11,Low
Krishna,2025-01-07,12:44,Low
Nellore,2025-03-07,05:26,High
Krishna,2025-03-01,21:45,Medium
East Godavari,2025-07-15,05:31,Low
Prakasam,2025-04-07,15:05,Medium
West Godavari,2025-06-27,05:41,Low
Visakhapatnam,2025-05-05,01:58,High
Vizianagaram,2025-06-01,20:55,Low
Guntur,2025-10-25,07:14,Medium
YSR Kadapa,2025-11-16,08:58,Medium
Krishna,2025-07-05,19:43,Low
Visakhapatnam,2025-04-01,18:44,Low
East Godavari,2025-10-14,23:50,High
West Godavari,2025-04-02,14:01,Medium
Kurnool,2025-06-04,02:53,Medium
Srikakulam,2025-09-10,13:47,Medium
YSR Kadapa,2025-07-04,14:52,Medium
Guntur,2025-02-28,01:17,High
Nellore,2025-03-01,15:48,High
East Godavari,2025-07-03,04:16,Low
Kurnool,2025-05-25,19:38,Low
Kurnool,2025-03-11,06:56,High
Chittoor,2025-08-23,00:36,Low
Prakasam,2025-12-06,03:29,High
Srikakulam,2025-05-26,03:18,Low
Kurnool,2025-05-28,22:23,High
Chittoor,2025-03-06,13:36,High
Nellore,2025-05-17,12:29,Medium
West Godavari,2025-08-04,13:05,High
Chittoor,2025-05-07,01:05,Medium
Prakasam,2025-10-28,00:32,High
East Godavari,2025-12-27,03:22,Medium
Guntur,2025-10-12,22:38,Low
Visakhapatnam,2025-05-22,18:36,Medium
Vizianagaram,2025-06-09,08:16,Low
Srikakulam,2025-08-19,16:37,High
Nellore,2025-05-23,18:48,High
Krishna,2025-05-19,20:18,High
Nellore,2025-10-27,19:39,High
Anantapur,2025-01-15,05:08,Medium
Srikakulam,2025-03-12,18:42,High
Krishna,2025-10-07,20:30,High
Kurnool,2025-12-09,09:05,Low
Krishna,2025-12-09,13:31,High
Nellore,2025-01-05,08:54,Medium
Prakasam,2025-11-25,12:28,Low
Nellore,2025-02-24,23:19,High
Prakasam,2025-10-16,17:23,Low
Kurnool,2025-07-01,13:03,Medium
Nellore,2025-02-28,01:37,High
West Godavari,2025-10-26,02:16,High
Visakhapatnam,2025-06-11,15:31,Medium
Chittoor,2025-10-04,09:29,Medium
West Godavari,2025-02-03,00:42,High
Guntur,2025-02-10,18:11,Low
Kurnool,2025-10-27,12:24,Medium
Krishna,2025-01-12,08:15,High
Kurnool,2025-02-09,13:32,Medium
Srikakulam,2025-02-14,08:24,Medium
Kurnool,2025-08-09,23:35,Low
Nellore,2025-09-08,16:03,Low
Prakasam,2025-07-14,15:12,Medium
Kurnool,2025-09-15,06:52,High
Kurnool,2025-08-02,22:32,Low
Krishna,2025-05-10,12:03,Low
Anantapur,2025-04-28,05:59,Medium
Prakasam,2025-02-16,11:23,Low
Vizianagaram,2025-08-01,07:06,High
Vizianagaram,2025-07-22,02:51,Low
Srikakulam,2025-02-26,18:54,High
YSR Kadapa,2025-08-10,11:54,High
Chittoor,2025-10-09,20:27,High
Vizianagaram,2025-06-19,05:35,Medium
Prakasam,2025-08-20,10:55,High
Anantapur,2025-01-14,22:08,Medium
YSR Kadapa,2025-01-02,14:34,Low
Nellore,2025-10-10,07:19,Low
East Godavari,2025-12-05,06:08,Low
Guntur,2025-05-01,21:36,High
YSR Kadapa,2025-11-07,20:32,Low
Vizianagaram,2025-07-11,12:52,High
Vizianagaram,2025-06-15,04:51,Low
Nellore,2025-05-23,15:54,High
Krishna,2025-08-28,11:06,Medium
Krishna,2025-02-09,21:03,Low
West Godavari,2025-07-05,03:13,Medium
Visakhapatnam,2025-04-19,10:59,Low
Chittoor,2025-03-15,09:52,Medium
East Godavari,2025-02-10,00:03,Medium
Nellore,2025-12-10,22:00,High
Nellore,2025-09-22,13:55,High
Chittoor,2025-03-11,18:40,Medium
West Godavari,2025-01-02,02:54,Low
Srikakulam,2025-10-11,16:07,Medium
Krishna,2025-11-20,17:24,Medium
East Godavari,2025-06-07,08:26,Low
Nellore,2025-10-14,19:53,Medium
Anantapur,2025-09-09,18:53,High
Prakasam,2025-03-12,09:41,High
Prakasam,2025-03-10,01:54,Low
Visakhapatnam,2025-02-21,15:20,High
Nellore,2025-05-13,04:12,Medium
Nellore,2025-05-14,14:57,Low
Visakhapatnam,2025-06-27,13:07,Low
Srikakulam,2025-05-03,19:41,High
Krishna,2025-11-18,07:32,High
Kurnool,2025-06-25,13:11,High
Krishna,2025-05-02,06:16,Low
YSR Kadapa,2025-12-27,23:12,High
East Godavari,2025-02-07,17:16,Medium
Vizianagaram,2025-07-02,09:04,Low
Krishna,2025-11-03,13:18,Medium
Guntur,2025-03-28,16:17,High
West Godavari,2025-06-25,15:50,Low
Prakasam,2025-01-08,07:41,Medium
YSR Kadapa,2025-08-14,20:00,Low
Visakhapatnam,2025-03-22,18:54,Medium
Nellore,2025-05-20,23:09,Low
East Godavari,2025-01-15,01:06,Medium
Guntur,2025-09-28,19:47,Low
Vizianagaram,2025-05-28,04:15,Low
Chittoor,2025-10-15,20:28,Medium
West Godavari,2025-07-19,18:34,Medium
Guntur,2025-07-21,09:26,Medium
Guntur,2025-01-16,12:33,Medium
Vizianagaram,2025-06-04,16:19,High
Krishna,2025-09-07,19:18,High
Vizianagaram,2025-02-23,14:36,High
Krishna,2025-03-25,22:07,High
West Godavari,2025-08-12,15:54,High
Guntur,2025-05-22,10:58,Medium
Vizianagaram,2025-03-26,04:18,High
Prakasam,2025-04-06,14:46,Medium
Kurnool,2025-01-08,04:12,Low
East Godavari,2025-01-07,04:56,Medium
East Godavari,2025-02-17,04:58,Low
Srikakulam,2025-09-04,18:12,High
Prakasam,2025-12-06,19:36,Medium
Nellore,2025-05-26,00:05,Low
Anantapur,2025-10-08,18:28,High
Nellore,2025-04-07,19:00,High
Vizianagaram,2025-01-03,11:05,High
Prakasam,2025-03-18,05:40,Low
Chittoor,2025-06-06,09:21,High
Nellore,2025-03-01,22:17,Low
Vizianagaram,2025-08-16,06:12,Medium
West Godavari,2025-04-23,20:22,Medium
Krishna,2025-04-04,12:51,Medium
Srikakulam,2025-01-07,22:23,Low
YSR Kadapa,2025-09-22,15:08,High
Krishna,2025-10-15,02:34,Medium
Visakhapatnam,2025-09-27,18:12,Medium
Nellore,2025-11-07,14:20,Medium
East Godavari,2025-01-28,13:33,Medium
Visakhapatnam,2025-04-03,19:30,High
Srikakulam,2025-05-12,01:30,Low
Guntur,2025-07-26,18:57,High
Krishna,2025-02-06,21:29,High
East Godavari,2025-02-13,23:01,High
Guntur,2025-05-08,22:11,Low
Prakasam,2025-11-24,02:27,Low
East Godavari,2025-03-02,00:12,High
West Godavari,2025-05-01,18:42,Medium
Krishna,2025-11-18,04:09,High
Vizianagaram,2025-12-20,21:21,High
West Godavari,2025-02-25,15:31,High
YSR Kadapa,2025-07-12,00:39,High
Nellore,2025-04-03,20:58,Medium
Srikakulam,2025-06-16,10:21,Medium
Vizianagaram,2025-12-15,07:00,High
West Godavari,2025-06-03,12:00,Low
East Godavari,2025-12-08,13:18,Medium
Krishna,2025-09-03,22:06,Medium
Chittoor,2025-06-27,09:36,Low
West Godavari,2025-07-17,05:11,Low
Krishna,2025-09-09,16:41,High
YSR Kadapa,2025-11-15,19:37,High
East Godavari,2025-11-09,19:43,Medium
Visakhapatnam,2025-02-02,23:45,High
Nellore,2025-02-11,12:35,Low
Krishna,2025-05-22,13:02,High
YSR Kadapa,2025-09-19,19:55,High
Kurnool,2025-04-21,04:59,Low
Vizianagaram,2025-03-25,11:33,High
Chittoor,2025-03-12,04:04,Low
Guntur,2025-05-09,09:04,High
Krishna,2025-07-17,14:23,Low
Vizianagaram,2025-09-05,07:20,Medium
Krishna,2025-10-18,11:29,Low
East Godavari,2025-01-04,08:27,Medium
Srikakulam,2025-08-27,13:58,Low
Nellore,2025-12-12,05:05,High
Krishna,2025-10-28,11:06,Medium
Vizianagaram,2025-11-05,03:17,Medium
Vizianagaram,2025-09-28,06:40,Low
Krishna,2025-01-09,12:51,High
Nellore,2025-11-14,00:05,Medium
Anantapur,2025-12-15,11:21,Medium
Chittoor,2025-09-01,01:55,Low
Kurnool,2025-05-14,04:43,Medium
East Godavari,2025-07-01,16:31,Medium
Kurnool,2025-03-02,00:19,High
Guntur,2025-05-01,05:23,Medium
YSR Kadapa,2025-12-25,18:09,Low
Anantapur,2025-05-06,20:05,High
Kurnool,2025-08-27,05:58,High
Visakhapatnam,2025-03-19,22:53,Medium
Krishna,2025-10-23,02:57,High
Vizianagaram,2025-11-03,20:04,Low
Anantapur,2025-03-12,14:14,High
Anantapur,2025-07-03,06:47,Medium
Vizianagaram,2025-11-02,12:30,Medium
East Godavari,2025-07-07,22:51,Low
YSR Kadapa,2025-08-02,12:58,High
Anantapur,2025-08-04,13:02,High
East Godavari,2025-03-18,17:55,Low
Kurnool,2025-03-16,14:03,Low
Guntur,2025-05-06,02:21,High
East Godavari,2025-10-14,00:22,High
Visakhapatnam,2025-08-28,03:50,High
YSR Kadapa,2025-03-08,14:42,High
Guntur,2025-01-23,03:41,Low
YSR Kadapa,2025-10-01,16:49,Medium
Guntur,2025-08-16,08:53,Low
Nellore,2025-09-12,09:41,Low
East Godavari,2025-11-10,19:54,High
Visakhapatnam,2025-02-26,23:02,Low
Prakasam,2025-12-01,16:06,Low
YSR Kadapa,2025-06-21,06:39,Medium
Krishna,2025-08-08,19:46,High
Nellore,2025-06-14,15:41,Medium
Nellore,2025-03-24,04:32,High
Anantapur,2025-06-06,11:07,High
West Godavari,2025-10-11,09:51,Medium
Prakasam,2025-01-01,09:17,Medium
Anantapur,2025-08-27,19:22,Medium
Anantapur,2025-12-10,18:20,Low
Anantapur,2025-07-04,20:51,Medium
Guntur,2025-04-21,19:09,High
Nellore,2025-07-12,03:29,Medium
Kurnool,2025-03-11,20:28,High
Anantapur,2025-08-09,03:27,Low
Guntur,2025-07-16,20:16,High
Prakasam,2025-03-18,04:56,High
Nellore,2025-08-09,02:36,High
Vizianagaram,2025-04-13,08:35,Medium
YSR Kadapa,2025-11-21,05:07,Low
Srikakulam,2025-07-23,09:36,Medium
Visakhapatnam,2025-10-01,17:40,Medium
Guntur,2025-10-04,07:20,Low
Kurnool,2025-01-22,05:55,Low
Prakasam,2025-04-18,20:25,High
Anantapur,2025-03-17,08:14,Medium
Prakasam,2025-05-04,01:02,Low
YSR Kadapa,2025-02-19,21:11,Medium
Prakasam,2025-07-17,09:09,Low
Guntur,2025-05-17,17:34,Medium
Prakasam,2025-10-18,17:22,Low
Anantapur,2025-02-09,09:26,Medium
Vizianagaram,2025-04-10,12:10,Medium
Anantapur,2025-11-14,12:33,Medium
Nellore,2025-09-28,22:37,High
Krishna,2025-04-24,18:27,Medium
Vizianagaram,2025-06-26,20:01,High
West Godavari,2025-12-08,20:14,Low
Krishna,2025-03-20,09:08,Low
Nellore,2025-12-01,12:48,Low
Chittoor,2025-06-02,12:51,Low
Krishna,2025-02-26,06:40,Low
Visakhapatnam,2025-08-26,23:24,Low
Chittoor,2025-07-27,01:29,Medium
Nellore,2025-09-01,17:59,Low
Vizianagaram,2025-06-09,01:17,Low
Vizianagaram,2025-10-10,08:39,Low
Vizianagaram,2025-03-17,17:27,Medium
Nellore,2025-06-27,05:07,Medium
East Godavari,2025-06-10,07:05,High
YSR Kadapa,2025-10-20,05:54,Low
Prakasam,2025-08-08,14:09,Low
Chittoor,2025-02-08,13:44,Medium
East Godavari,2025-03-20,10:41,Low
Prakasam,2025-07-01,19:50,Medium
Srikakulam,2025-03-04,01:09,Medium
Visakhapatnam,2025-02-09,07:43,High
East Godavari,2025-03-02,22:56,High
West Godavari,2025-04-13,23:45,High
Krishna,2025-09-11,05:39,High
Chittoor,2025-08-10,19:49,Low
Srikakulam,2025-02-05,19:00,Medium
Nellore,2025-07-28,18:55,Medium
Nellore,2025-10-20,18:11,Low
Nellore,2025-04-01,12:41,Medium
Guntur,2025-10-02,17:16,Medium
West Godavari,2025-01-22,04:16,Low
East Godavari,2025-04-03,20:04,Medium
YSR Kadapa,2025-07-14,12:54,High
Guntur,2025-03-10,16:33,Medium
Prakasam,2025-11-08,23:01,Medium
Vizianagaram,2025-07-24,01:58,High
Kurnool,2025-11-20,02:35,Low
Chittoor,2025-09-18,16:25,Medium
YSR Kadapa,2025-04-01,05:41,High
Kurnool,2025-04-13,20:18,High
YSR Kadapa,2025-06-20,04:37,High
Visakhapatnam,2025-09-20,21:07,High
Chittoor,2025-12-08,08:43,Low
East Godavari,2025-12-02,18:54,Low
Kurnool,2025-04-15,09:30,High
Krishna,2025-09-04,09:41,Medium
Guntur,2025-06-04,00:59,High
Nellore,2025-01-11,12:54,Medium
Srikakulam,2025-05-01,02:25,High
Kurnool,2025-05-26,23:24,Medium
YSR Kadapa,2025-07-02,22:55,High
Srikakulam,2025-10-09,21:33,Medium
Anantapur,2025-05-06,20:40,Medium
Vizianagaram,2025-10-14,22:19,Medium
Vizianagaram,2025-05-02,19:22,Medium
Chittoor,2025-01-24,13:59,Low
Chittoor,2025-01-04,16:28,Medium
Nellore,2025-02-17,23:38,Medium
Vizianagaram,2025-03-09,03:51,Low
YSR Kadapa,2025-08-14,08:30,High
West Godavari,2025-07-20,17:59,Medium
Srikakulam,2025-02-27,00:43,Medium
East Godavari,2025-03-04,17:24,Low
Nellore,2025-10-25,08:57,Low
YSR Kadapa,2025-03-20,02:41,Medium
Nellore,2025-05-10,10:56,High
Vizianagaram,2025-10-15,09:42,Low
Chittoor,2025-06-05,03:48,Low
Guntur,2025-05-25,17:00,Medium
Srikakulam,2025-06-22,15:32,Low
Visakhapatnam,2025-01-20,05:13,Medium
Krishna,2025-10-02,16:42,Low
YSR Kadapa,2025-04-22,19:38,High
Chittoor,2025-11-18,21:53,Low
Srikakulam,2025-05-25,00:56,Medium
Prakasam,2025-06-22,06:31,Low
YSR Kadapa,2025-05-11,22:51,Low
West Godavari,2025-11-14,05:19,Low
Guntur,2025-03-24,18:11,High
Anantapur,2025-02-20,13:45,Medium
Vizianagaram,2025-02-17,15:29,High
Srikakulam,2025-12-05,21:01,Medium
West Godavari,2025-12-11,14:50,Medium
Anantapur,2025-03-25,14:16,Medium
Prakasam,2025-12-22,21:40,Medium
West Godavari,2025-01-02,21:56,Medium
Anantapur,2025-12-13,15:35,High
East Godavari,2025-02-12,15:19,Medium
West Godavari,2025-03-02,06:21,High
Anantapur,2025-06-04,21:16,High
